epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,260.273,0.86811,1.27827,0.92921,0.95386,0.976,0.99408,0.75408,0.86991,0.65887,0.93563,0.0009204,0.0009204,0.0009204
43,265.771,0.8695,1.35684,0.94745,0.93975,1,0.99377,0.78875,0.84567,0.61892,0.91824,0.000911603,0.000911603,0.000911603
44,271.159,0.91099,1.31485,0.96532,0.95108,0.99284,0.99438,0.76379,0.82838,0.64828,0.94427,0.000902652,0.000902652,0.000902652
45,276.541,0.85639,1.24977,0.94598,0.9477,0.97997,0.99281,0.75188,0.82637,0.62788,0.91766,0.000893551,0.000893551,0.000893551
46,281.93,0.83859,1.17206,0.93986,0.94518,0.99299,0.99315,0.74569,0.8598,0.60537,0.91505,0.000884305,0.000884305,0.000884305
47,287.42,0.82371,1.11568,0.92154,0.96052,0.98842,0.995,0.79445,0.78405,0.58393,0.9189,0.000874916,0.000874916,0.000874916
48,292.834,0.82525,1.16002,0.92105,0.96024,0.99339,0.995,0.80729,0.8178,0.60423,0.91047,0.00086539,0.00086539,0.00086539
49,298.326,0.81861,1.13093,0.89212,0.9638,0.98784,0.99286,0.82383,0.81731,0.64014,0.9082,0.00085573,0.00085573,0.00085573
50,303.773,0.83494,1.19643,0.90018,0.95695,0.98928,0.99438,0.79179,0.81316,0.61593,0.92022,0.000845941,0.000845941,0.000845941
51,309.196,0.84188,1.16037,0.92935,0.94842,0.98747,0.99469,0.76845,0.86664,0.60403,0.95512,0.000836027,0.000836027,0.000836027
52,314.564,0.84398,1.11278,0.93687,0.95935,0.99462,0.995,0.7762,0.85251,0.59837,0.95007,0.000825993,0.000825993,0.000825993
53,319.963,0.8573,1.12404,0.91902,0.97881,0.99796,0.995,0.7757,0.84569,0.59747,0.9503,0.000815842,0.000815842,0.000815842
54,325.346,0.78181,1.08165,0.90199,0.9441,0.98192,0.99054,0.76945,0.83574,0.56956,0.92865,0.00080558,0.00080558,0.00080558
55,330.72,0.80586,1.0534,0.9074,0.94377,0.99151,0.98924,0.78984,0.78729,0.61923,0.91165,0.00079521,0.00079521,0.00079521
56,336.099,0.81507,1.04859,0.90944,0.96106,1,0.995,0.81108,0.77058,0.5796,0.91463,0.000784738,0.000784738,0.000784738
57,341.499,0.79518,1.06702,0.92313,0.96626,0.96533,0.995,0.79948,0.85085,0.59073,0.91879,0.000774167,0.000774167,0.000774167
58,346.882,0.80008,1.01286,0.91757,0.95934,1,0.995,0.80635,0.83657,0.55199,0.93344,0.000763503,0.000763503,0.000763503
59,352.26,0.81415,0.98915,0.9114,0.95962,0.99542,0.995,0.80216,0.83064,0.57915,0.91208,0.00075275,0.00075275,0.00075275
60,357.656,0.77132,0.99493,0.91061,0.92507,0.98863,0.99469,0.75795,0.88215,0.60009,0.91595,0.000741914,0.000741914,0.000741914
61,363.085,0.81147,1.04074,0.89839,0.93328,0.98672,0.99438,0.80627,0.86066,0.5912,0.9319,0.000730997,0.000730997,0.000730997
62,368.483,0.77803,0.96314,0.90934,0.95569,0.99187,0.995,0.82658,0.80447,0.55029,0.94769,0.000720007,0.000720007,0.000720007
63,373.875,0.755,0.98949,0.89796,0.96228,0.98364,0.995,0.80237,0.778,0.56348,0.89519,0.000708946,0.000708946,0.000708946
64,379.262,0.71101,0.94945,0.88358,0.96411,0.98661,0.995,0.80551,0.81009,0.56346,0.90176,0.000697821,0.000697821,0.000697821
65,384.666,0.80938,0.95813,0.90427,0.96681,0.98833,0.99469,0.81404,0.79984,0.56077,0.90128,0.000686635,0.000686635,0.000686635
66,390.067,0.82438,0.96708,0.91926,0.96196,0.98752,0.99469,0.7814,0.82479,0.5637,0.89425,0.000675395,0.000675395,0.000675395
67,395.475,0.79621,0.88921,0.90156,0.96396,0.99948,0.995,0.76645,0.85138,0.56363,0.91328,0.000664104,0.000664104,0.000664104
68,400.841,0.78145,0.9025,0.89572,0.95918,0.97654,0.995,0.77575,0.84697,0.5845,0.90106,0.000652769,0.000652769,0.000652769
69,406.283,0.74889,0.91126,0.89645,0.96537,0.9837,0.995,0.77705,0.86159,0.57985,0.91502,0.000641393,0.000641393,0.000641393
70,411.696,0.73213,0.87957,0.89526,0.9627,0.98353,0.995,0.79411,0.81522,0.53538,0.90515,0.000629981,0.000629981,0.000629981
71,417.104,0.7319,0.87305,0.88319,0.94398,0.98438,0.995,0.83927,0.75019,0.53201,0.90218,0.00061854,0.00061854,0.00061854
72,422.52,0.74464,0.88407,0.8817,0.93278,0.98865,0.995,0.79645,0.76688,0.53819,0.88716,0.000607073,0.000607073,0.000607073
73,427.974,0.76864,0.85684,0.89426,0.9476,0.9783,0.99441,0.79501,0.78592,0.54934,0.91138,0.000595586,0.000595586,0.000595586
74,433.365,0.74245,0.87661,0.89182,0.96117,0.992,0.99441,0.79472,0.81013,0.55159,0.96535,0.000584084,0.000584084,0.000584084
